epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,2159.23,0.73113,0.65967,0.90462,0.77199,0.80763,0.74677,0.61596,0.7024,0.62934,0.95759,0.00505,0.00505,0.00505
102,2179.96,0.7299,0.67589,0.90652,0.73186,0.7851,0.7567,0.62688,0.69079,0.65064,0.94895,0.0050005,0.0050005,0.0050005
103,2200.67,0.72681,0.64554,0.90428,0.7642,0.7578,0.74178,0.62386,0.69204,0.66202,0.95173,0.004951,0.004951,0.004951
104,2221.37,0.71722,0.62814,0.90179,0.76697,0.72824,0.7415,0.61668,0.69111,0.62901,0.95514,0.0049015,0.0049015,0.0049015
105,2242.21,0.7138,0.64,0.89608,0.80404,0.70847,0.76719,0.64233,0.68775,0.6354,0.9558,0.004852,0.004852,0.004852
106,2262.97,0.71791,0.62784,0.89555,0.75607,0.77728,0.73655,0.61231,0.68042,0.62477,0.95161,0.0048025,0.0048025,0.0048025
107,2283.68,0.70987,0.6101,0.89975,0.75027,0.77151,0.74493,0.62607,0.68537,0.63024,0.94924,0.004753,0.004753,0.004753
108,2304.42,0.70321,0.60972,0.88903,0.79196,0.76673,0.77586,0.63994,0.69994,0.62723,0.96335,0.0047035,0.0047035,0.0047035
109,2325.21,0.71559,0.61989,0.89977,0.77503,0.75874,0.76999,0.6452,0.68431,0.61292,0.95645,0.004654,0.004654,0.004654
110,2345.95,0.70447,0.59629,0.88977,0.79577,0.74607,0.74637,0.62858,0.67339,0.62545,0.95713,0.0046045,0.0046045,0.0046045
111,2366.67,0.69117,0.58752,0.88816,0.73575,0.74614,0.74112,0.61843,0.68002,0.6299,0.95411,0.004555,0.004555,0.004555
112,2387.38,0.70321,0.61245,0.89649,0.82612,0.71958,0.76604,0.64522,0.67129,0.61146,0.94914,0.0045055,0.0045055,0.0045055
113,2408.13,0.68891,0.591,0.88535,0.80123,0.77344,0.76574,0.63061,0.68946,0.63646,0.95686,0.004456,0.004456,0.004456
114,2428.88,0.70194,0.58742,0.89152,0.79579,0.72298,0.75812,0.62826,0.68462,0.61133,0.95518,0.0044065,0.0044065,0.0044065
115,2449.62,0.68013,0.59067,0.88491,0.78476,0.66441,0.75039,0.62601,0.67719,0.61445,0.9555,0.004357,0.004357,0.004357
116,2470.34,0.69919,0.58659,0.8909,0.78313,0.73147,0.76334,0.63299,0.6805,0.60807,0.95336,0.0043075,0.0043075,0.0043075
117,2491.11,0.68783,0.57006,0.88699,0.7179,0.80198,0.75923,0.6287,0.6728,0.60858,0.9491,0.004258,0.004258,0.004258
118,2511.85,0.70691,0.62358,0.89597,0.80803,0.73677,0.78319,0.65647,0.68011,0.62412,0.95007,0.0042085,0.0042085,0.0042085
119,2532.61,0.69913,0.59846,0.89498,0.84375,0.74532,0.79852,0.65645,0.69115,0.61803,0.96122,0.004159,0.004159,0.004159
120,2553.33,0.70503,0.60292,0.89774,0.83237,0.73446,0.79483,0.65717,0.67785,0.61497,0.95429,0.0041095,0.0041095,0.0041095
121,2574.09,0.68042,0.5777,0.88596,0.87459,0.73141,0.79764,0.65817,0.68863,0.62816,0.95708,0.00406,0.00406,0.00406
122,2594.83,0.67574,0.57253,0.88772,0.84101,0.71412,0.79017,0.6482,0.67488,0.61708,0.95535,0.0040105,0.0040105,0.0040105
123,2615.58,0.67119,0.5455,0.88387,0.80521,0.78383,0.78588,0.6509,0.67799,0.59335,0.95675,0.003961,0.003961,0.003961
124,2636.27,0.67509,0.56536,0.88562,0.8033,0.77168,0.76202,0.63268,0.68438,0.59455,0.9607,0.0039115,0.0039115,0.0039115
125,2657.03,0.67512,0.55437,0.88183,0.81239,0.76743,0.76119,0.63014,0.6771,0.6126,0.95735,0.003862,0.003862,0.003862
126,2677.76,0.66819,0.55042,0.88276,0.85373,0.737,0.80861,0.66516,0.67528,0.61205,0.95467,0.0038125,0.0038125,0.0038125
